Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KLHL38,1.167305044309844,-1.4569052685754516,0.4310863164384324,-3.3796138105523146,0.0007258774689112597,0.029337162416549344
KLK14,27.428033356143228,-2.862138411083984,0.39853763946628834,-7.181601253314213,6.889962772607268e-13,2.1859555223225326e-09
KLK5,504.7329087971713,-2.343803792229343,0.49020809651977565,-4.781242514901609,1.7421504105770606e-06,0.00044815642183439083
KRT1,1379.1274468237145,-4.313772348253294,0.5181243481125337,-8.325747214868132,8.379845601880637e-17,5.317291362579993e-13
KRT10,3761.5725952998523,-1.3608380160668727,0.27602171618875593,-4.930184605968724,8.215194803791556e-07,0.00023340962430593438
KRT3,13.5958026263245,-1.881209556730859,0.4284379640250702,-4.3908563542253685,1.1290511332281118e-05,0.0018061023001790196
KRT6L,28.085395572531482,-2.881418276296862,0.44804146406054596,-6.431141997847508,1.266487751769207e-10,2.2234465815550257e-07
KRT77,8.829601099292447,-1.8831807730696162,0.5376663976373001,-3.5025078400751677,0.00046090021913156,0.021825115849224818
KRT81,596.7619122711117,-3.170213589815667,0.38452258310090714,-8.244544609708225,1.657903987985035e-16,7.889965078820781e-13
KRT83,7.195332630816313,-1.4534080833073977,0.44202545557094763,-3.288064216641291,0.0010087882638174913,0.03543043060891101
KRT84,4.545875749101119,-3.2671959232753,0.598955409629476,-5.454823298609896,4.902156841810682e-08,2.276035552212394e-05
KRTDAP,336.1003380523686,-2.8539379109330665,0.5679127562598593,-5.025310453895128,5.026187790671214e-07,0.000158063765472233
LAIR2,9.146531409666856,1.3982893486930266,0.30997806242844045,4.5109300243330175,6.454401203207233e-06,0.001181403666387047
LAMA1,140.69943095030868,-1.9769201924297104,0.3758430737962695,-5.259961750688865,1.440853700750548e-07,5.8357640526569004e-05
LBP,14.425847615143194,-2.3181316557063414,0.6631625255329792,-3.495570944457808,0.000473048680093155,0.02217609529414795
LCE3A,2.0164872519398376,-2.8056447375687257,0.809597698641996,-3.465480129544416,0.0005292856372593693,0.023554873026626948
LEFTY1,54.706429615226206,2.0717271315396957,0.39043815759623846,5.306159480657418,1.119590125673637e-07,4.843754007346217e-05
LGMD2L,26.53051047642056,1.3591160395152018,0.3607255557266431,3.767728728776667,0.0001647395767222709,0.011445191906880106
LHFPL3,2.8943218385746436,1.9651858448049069,0.48822470374316373,4.025166751575757,5.693495621590394e-05,0.005365414982801719
LINC00313,3.894177235431366,-1.4140821144823141,0.37718795637984004,-3.74901184028869,0.00017753270468745072,0.011837929254516315
LINC00470,2.3725522897823614,-3.6801370690075768,1.0812546475695632,-3.40358034740453,0.000665088492678988,0.02770377362502673
LINC00473,26.595290503019,-2.9350726950825874,0.6231610657866927,-4.709974445173793,2.4774785301322513e-06,0.000596978244298703
LINC00518,5.349053345052934,-1.2365749360650737,0.34185050891168034,-3.6172973385409004,0.0002976952551260901,0.01668685016073501
LINC00964,13.083496523017951,1.2622246779132644,0.4000750759144299,3.1549695392252715,0.001605148630084229,0.045402094089574116
LINC01059,94.79004906498278,-1.1939003441549578,0.34290430888597234,-3.481730363884029,0.0004981850623806739,0.02257964487494883
LIX1,3.6496279126697426,3.7612285196150204,0.5920113581030676,6.353304658996426,2.107377525940861e-10,2.8654313274150164e-07
LOR,3.4010207100506937,-1.7585854880365501,0.5365621418232127,-3.277505718277029,0.0010472860922602187,0.036379813963988185
LRPDIT,8.851340168609863,-1.8276742296092725,0.4690327402078175,-3.896687955726657,9.751713254610821e-05,0.007899302702756239
LRRC10B,52.307527259343786,1.0141234582585463,0.3174842936053411,3.1942476484181124,0.0014019579485308419,0.042294249616851194
LRRC19,4.8016371558740305,1.512910574359719,0.34548703117874907,4.3790661814363885,1.1918893474542067e-05,0.0018597381654211704
LRRC73,20.951878148952442,1.0115306989886816,0.24504453384272815,4.127946390503415,3.66017416532989e-05,0.0038924623134759654
MAEL,5.65055220748425,-1.8842702910249418,0.5842086745858924,-3.2253377482978642,0.0012582413349339976,0.040118194629228
MAGEA1,36.06262295099268,-4.7122788322055476,1.10498699130458,-4.264555935307522,2.0030016274477642e-05,0.002540667550946966
MAGEA10,6.152584241049618,-3.0333492191730174,0.8607626263307132,-3.5240252380655477,0.0004250437619887912,0.020746495008252895
MAGEA12,11.309643334313202,-4.315929376671245,0.936741322831622,-4.60738655536714,4.077615385564308e-06,0.0008085571508291891
MAGEA2,7.658696408306362,-3.4640174564818023,0.9118284197099141,-3.7989794807929247,0.00014529311952528377,0.010397743696553765
MAGEA6,114.3532933582215,-4.32005133328557,0.7494190571573596,-5.7645335970932825,8.18839658658674e-09,5.37497646283673e-06
MAGEC2,8.156339245136929,-4.963136080598719,1.134109082028813,-4.3762422497491515,1.2074281775908213e-05,0.001868666893383648
MAMDC2,39.85256832740071,-1.3430012737310153,0.3184337747228457,-4.217521445078869,2.4700233531608338e-05,0.002867034423827417
MAPK4,58.682443906394134,-3.493827557960567,0.5026591020878066,-6.9506899277241185,3.635040461508623e-12,9.88523288932545e-09
MARCH4,6.313203075331033,-1.3230413767984324,0.3895446738407707,-3.396379069321419,0.0006828372278736484,0.028196289522348744
MED12L,11.0166918327811,-1.0490184752030194,0.25333710179899804,-4.1408008055422085,3.4609541700644004e-05,0.0037470915091377534
MEP1B,0.47368618478787844,1.8818778607032507,0.46578199203806303,4.040254653188624,5.3393195109418126e-05,0.005081964310514418
MIA,101.2629233101931,-1.3894055741419191,0.4308805065000161,-3.2245728297802843,0.0012616076203418151,0.040118194629228
MIC5,377.0782670218341,-1.4351072639141245,0.36983843030875474,-3.880362737631252,0.00010430079454088273,0.00824518992395686
MME,691.9208496697805,-1.5744710261331667,0.3719647666911809,-4.232849901722954,2.3074851429474006e-05,0.002762596678059542
MMP3,606.9667679244374,-1.7437888869199605,0.3593908924237711,-4.852067550069672,1.2218099038122412e-06,0.000337077874332896
MRGPRX3,12.2285171815331,-1.7839150326591815,0.5060377485923776,-3.525260788590214,0.0004230660767154743,0.020736777867465965
MUC12,16.5734266184654,2.6477878934879593,0.3495380910789756,7.575105435046022,3.5883608721446356e-14,1.3661607512429056e-10
MUC6,347.92722693427356,-2.2790752938641026,0.5621541335624778,-4.054182221201805,5.030998938313657e-05,0.004898084244009367
MUCL1,22.208437897330487,-2.3692831007878867,0.6087831153424313,-3.891834449868408,9.948912410004667e-05,0.008024893925290206
MYBPC2,7.17957480673492,1.467912314113353,0.3908544035045352,3.7556499324340358,0.00017289221918231424,0.011663752897894007
MYH16,4.052352233627816,-1.448669595414809,0.4070221318557848,-3.559191213533564,0.00037199862521369994,0.019157201742810145
MYOCD,6.249432021532278,-1.0659040511493816,0.3197447232536402,-3.3336095129358685,0.0008572691664091299,0.032375272142440056
NALCN,4.663041622401204,-1.2530983749418296,0.39619993405129494,-3.162792992236072,0.0015626340355876418,0.04459715367533186
NAPSA,13.021043978667912,1.1822845929681598,0.22302556301494292,5.301116952629084,1.1509632440172585e-07,4.868830291802785e-05
NEB,38.39527037246482,1.4189381811468227,0.25349845975829793,5.59742328414828,2.1756107142137403e-08,1.183283587307793e-05
NEFM,78.39339517417497,-1.3596769536701268,0.41952987478701603,-3.24095382804478,0.0011913047773306272,0.03916697364640038
NKX2-2,6.9419847836861,-3.188547325368267,0.9535673779515503,-3.343809151921589,0.0008263656421022474,0.03157504347307002
NLRP10,1.8033425829688214,-2.874089847624802,0.7940488802138016,-3.6195376874669716,0.00029512982685890013,0.01662157214226634
NME5,14.561104582383228,1.469288976951433,0.46752190326522275,3.1427168795510165,0.001673876579121229,0.04685869788257605
NOS1,6.073163816953834,-2.2756397396712877,0.6482748241666301,-3.5103009631704687,0.00044759976360685664,0.021516437121262937
NPBWR1,12.247056804184556,-1.7660757630161592,0.43907791847893557,-4.022237713830479,5.764783312044835e-05,0.00537933407490615
NPY4R,13.432774997252363,-1.0224017057169277,0.3112692677397049,-3.2846214248555325,0.0010211948429410015,0.03580011976100351
NR0B2,1.7255147085652514,2.0162327349181597,0.5548330718004635,3.633944761755774,0.00027912064488283837,0.016004037939728044
NR4A1,2084.3025906998846,1.0337375348275557,0.25307174947058525,4.0847606933215115,4.412226536894447e-05,0.00452195299867287
NRCAM,202.93043483958047,1.103927525541841,0.3344246153467716,3.3009756904322267,0.0009634923028933773,0.03428231678108099
NRG1-IT2,103.09427808617548,-1.3129293740494279,0.31748863758900076,-4.1353586195076915,3.544007504162357e-05,0.0038115099914821826
NRG2,8.815717198452141,-1.2231994046860808,0.33387037655869545,-3.6636955254730084,0.00024860228161436323,0.014788728227534432
NRXN3,29.886465454243744,1.5716765243992195,0.3633096518862154,4.325997165887163,1.5184337433525983e-05,0.0021733011081548916
NTNG1,11.016464453564774,-1.6591376173349914,0.3745945633584404,-4.429155624843928,9.460274195513011e-06,0.001552463617118842
NXF3,9.87373949182129,-1.780004208055956,0.5222397064834713,-3.4084045811868813,0.0006534393359542275,0.027477407612934573
NXPH2,5.116233563887154,-2.803845764591917,0.6322238055079399,-4.434894320911021,9.211746540993744e-06,0.0015503306699359784
OLIG3,1.9068554088905592,4.794068925872219,1.254100044911622,3.822716493252389,0.00013198950573543273,0.009618807872190169
OLR1,360.5211754544248,-1.0883003321206106,0.303913355479904,-3.5809559287122985,0.00034233940119904094,0.018311463276118833
OSBP2,645.4673232874377,-1.6404013252583767,0.25515823338224836,-6.42895705740727,1.2848241435756086e-10,2.2234465815550257e-07
PACRG,9.650746981363895,1.481581409767309,0.4365711506305042,3.393676855714312,0.0006896101389253864,0.02829185044091305
PAEP,17.47826782830431,-2.2546988117180766,0.6425829820245843,-3.5088056714701716,0.0004501236603710111,0.021583259442878006
PAPPA,83.66646656310681,-1.0706401620243073,0.28547525685049674,-3.750378137272335,0.00017656810024278672,0.011835036465569325
PAQR9,1.8154285305425102,-2.4193035652369748,0.5757869252911434,-4.201734111995801,2.6487813019250423e-05,0.003019293464876952
PBLD,127.7122413370894,1.075911970131673,0.18697687317642456,5.754251591941436,8.702646806582755e-09,5.522119487003644e-06
PCDHB6,9.388069238266583,-1.1073649072115679,0.2876784656695865,-3.849314562472095,0.00011844881576567099,0.008983233692889692
PCOLCE2,101.08710568164541,-1.0596624606838196,0.3333492199861925,-3.178835878865147,0.0014786778992039802,0.04315693327331639
PCSK1,38.03578374708158,-1.2061372879855237,0.2974274417329587,-4.055232028887362,5.008456112328343e-05,0.004898084244009367
PID1,103.06713292675128,-1.0881414809358996,0.2623249102170462,-4.148067676971955,3.352932919311651e-05,0.0036681856926446313
PKHD1L1,14.00274197797261,-1.687609589172591,0.43124235859502635,-3.9133669398126116,9.101806384972964e-05,0.007500518889365599
PLA2G4D,42.708088845149746,-1.3911559957007855,0.330623489311353,-4.207674411150847,2.580122511752608e-05,0.0029587477188989545
PLP1,5.336690112744788,-1.9405940351633189,0.45648452832016,-4.25117153982109,2.1265520898017666e-05,0.002594938819324771
